"num","REGISTRY_ID"
1,110018797435
2,110035556332
3,110071513252
4,110066558683
5,110005831859
6,110071945465
7,110070469988
8,110070523141
9,110071864051
10,110065032164
11,110038349285
12,110067888183
13,110031683275
14,110065796543
15,110066961265
16,110071727356
17,110070433134
18,110070544780
19,110041581963
20,110001900783
21,110071977690
22,110063383137
23,110024844169
24,110038238449
25,110030468081
26,110040088428
27,110015335403
28,110014942081
29,110068360605
30,110071932058
31,110006046698
32,110070581162
33,110070001840
34,110066961112
35,110042310594
36,110006474911
37,110003466026
38,110015554559
39,110040741445
40,110060104596
41,110071503961
42,110065741479
43,110057040624
44,110010636277
45,110045519630
46,110010729266
47,110034892819
48,110015862805
49,110070601919
50,110017304816
51,110070453399
52,110040066059
53,110007835389
54,110070157329
55,110014690557
56,110028222000
57,110063758134
58,110029937460
59,110040655234
60,110019246387
61,110063593133
62,110070398686
63,110071357771
64,110019254643
65,110013842324
66,110042524783
67,110070471822
68,110032861856
69,110070487989
70,110070343159
71,110014387261
72,110024160156
73,110014902383
74,110071881423
75,110070413654
76,110070344348
77,110030677131
78,110071884319
79,110019783714
80,110039241692
81,110071157106
82,110059686406
83,110041723347
84,110041371093
85,110071701438
86,110015313132
87,110058265746
88,110071796850
89,110066393012
90,110015783026
91,110072149316
92,110018696856
93,110070566419
94,110068452294
95,110042303619
96,110063332647
97,110070482767
98,110018662204
99,110069048104
100,110035402089
101,110071536826
102,110006591964
103,110065425686
104,110039250039
105,110040253720
106,110070502499
107,110045777272
108,110025045074
109,110033193880
110,110071483911
111,110068020162
112,110044863564
113,110056429431
114,110024319673
115,110002206871
116,110070411239
117,110070787486
118,110071402197
119,110070583227
120,110070916970
121,110063266479
122,110056336086
123,110055928956
124,110069401999
125,110027859217
126,110017352283
127,110071841862
128,110016856892
129,110071238851
130,110013241456
131,110060115726
132,110065447626
133,110037217810
134,110024607834
135,110067206801
136,110003475301
137,110072114143
138,110019271795
139,110065434630
140,110070202333
141,110003612840
142,110014128504
143,110035064284
144,110070838554
145,110069634872
146,110015591475
147,110016661030
148,110043210959
149,110072160444
150,110030623573
151,110069562878
152,110005011548
153,110061977268
154,110044751621
155,110015451250
156,110002559231
157,110070568341
158,110066097609
159,110003281289
160,110070159916
161,110019404081
162,110070292849
163,110002129456
164,110019493528
165,110030526786
166,110017291571
167,110041518890
168,110065873291
169,110031610692
170,110072030998
171,110009879275
172,110070490154
173,110070032330
174,110039415255
175,110045121872
176,110067859776
177,110071924553
178,110011771010
179,110037965743
180,110029894363
181,110071041264
182,110042929784
183,110009449169
184,110014860640
185,110019050532
186,110001603168
187,110019195093
188,110029911923
189,110068696799
190,110071847885
191,110056433710
192,110060990968
193,110070473285
194,110010895585
195,110002274574
196,110040988107
197,110020834702
198,110056266286
199,110070418363
200,110063828960
201,110040410926
202,110061057519
203,110024684386
204,110004414606
205,110058775197
206,110066700537
207,110010163223
208,110041352461
209,110037570321
210,110042121888
211,110024522480
212,110065881460
213,110022281485
214,110070416900
215,110002374430
216,110054457912
217,110071729776
218,110064952305
219,110011680555
220,110019766449
221,110070337202
222,110065204433
223,110038733332
224,110040212427
225,110033636992
226,110039235850
227,110071933460
228,110058713566
229,110034293048
230,110065974645
231,110006506539
232,110070698563
233,110063899125
234,110019256017
235,110058897109
236,110042743797
237,110071982377
238,110066440051
239,110008769010
240,110024430784
241,110037706881
242,110002172657
243,110038273533
244,110019139118
245,110016703637
246,110019419912
247,110015899606
248,110071222855
249,110066299598
250,110067818794
251,110031726844
252,110071953707
253,110015823509
254,110037295049
255,110005728187
256,110065820017
257,110033755657
258,110042691833
259,110071999927
260,110071132283
261,110044505112
262,110054385278
263,110070024551
264,110011705039
265,110039450215
266,110041373938
267,110017563046
268,110070417902
269,110014195174
270,110043335183
271,110066242060
272,110071251285
273,110012165986
274,110070541263
275,110071140174
276,110028873654
277,110015445632
278,110002717025
279,110062638285
280,110070488213
281,110061470974
282,110024310128
283,110013317302
284,110070474498
285,110070602731
286,110025128289
287,110070248299
288,110072052930
289,110070624692
290,110070282426
291,110019484501
292,110070207891
293,110072084757
294,110071912103
295,110071487570
296,110011837502
297,110065592120
298,110003281038
299,110070031607
300,110018784724
301,110031020124
302,110055235963
303,110025385580
304,110071896392
305,110004136355
306,110065719672
307,110070047645
308,110029944292
309,110017350123
310,110041472947
311,110032965762
312,110044761335
313,110055789767
314,110071445645
315,110003174038
316,110071922676
317,110070818724
318,110005440549
319,110070050914
320,110003149272
321,110005427831
322,110071438476
323,110046551192
324,110066648658
325,110031607072
326,110028235880
327,110015838511
328,110044134013
329,110011494276
330,110001970305
331,110032530125
332,110064991399
333,110034883632
334,110070567804
335,110030677391
336,110065680944
337,110071298301
338,110038725476
339,110071999771
340,110070011006
341,110030004849
342,110071921958
343,110070404340
344,110068421121
345,110035064952
346,110055954436
347,110066142588
348,110071778943
349,110072091200
350,110065695411
351,110071442228
352,110072145715
353,110070060722
354,110071965034
355,110072117853
356,110070480258
357,110024696104
358,110026553254
359,110070346173
360,110072151521
361,110019114395
362,110001379437
363,110002787798
364,110070093664
365,110011928361
366,110041014023
367,110006884443
368,110065762721
369,110012311122
370,110068497406
371,110070456847
372,110055720313
373,110040808472
374,110036222502
375,110071490376
376,110018555838
377,110037812052
378,110070329535
379,110005423755
380,110013273135
381,110012352202
382,110071448539
383,110071509450
384,110070214677
385,110070598256
386,110071930105
387,110071876173
388,110070101704
389,110055728191
390,110043178236
391,110071939315
392,110032266704
393,110002429729
394,110071136409
395,110071977650
396,110036299092
397,110045835405
398,110070695800
399,110008383882
400,110014195780
401,110070335864
402,110019598693
403,110070553101
404,110018446859
405,110055697287
406,110046487958
407,110070473710
408,110006651649
409,110051732559
410,110017568087
411,110071273526
412,110034428206
413,110060004944
414,110065373919
415,110031945162
416,110056240624
417,110040243625
418,110070705665
419,110028173786
420,110032403307
421,110001075504
422,110070208955
423,110038984837
424,110029976612
425,110024997244
426,110070213142
427,110068099881
428,110033244781
429,110005729033
430,110045368794
431,110070041853
432,110071495739
433,110058342388
434,110068530762
435,110072131438
436,110020896707
437,110045032790
438,110059656224
439,110070881312
440,110009007234
441,110006555414
442,110071524321
443,110069033655
444,110069140389
445,110031648536
446,110070023599
447,110034051488
448,110069647216
449,110037772684
450,110004812169
451,110070716061
452,110060260587
453,110070564499
454,110070795085
455,110041480769
456,110070435621
457,110003418917
458,110070712859
459,110070046374
460,110008280984
461,110053879255
462,110070921129
463,110041574034
464,110070333521
465,110019233024
466,110065292427
467,110070692527
468,110068301518
469,110071237842
470,110070464548
471,110058242619
472,110070694912
