scenario,target,environment,app_version,measured_at_utc,analysis_type,analysis_subtype,input_number,radius,time_getblocksnearby,time_doaggregate,time_batch_summarize,nrows_blocks,nrows_results_bysite,time_ejamit,web_elapsed_seconds,elapsed_seconds,predicted_fit_seconds,predicted_upper_seconds,candidate_profile,candidate_fit_seconds,candidate_absolute_percentage_error,radius_observed,displayed_eta_text,status,validity,valid_for_local_model,valid_for_web_calibration,calibration_role,benchmark_profile,cache_state,timing_boundary,duration_lower_bound_seconds,source_file,source_row,source_repeat,scenario_occurrence,notes,error
point_1_radius_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:02 UTC,points,point_buffer,1,1,,,,,,2.158,,2.158,33.8062685931762,123.67570716491,ejamit_v3.2022.2,0.889,58.804448563484705,1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,2,,1,,
points_10_radius_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:05 UTC,points,point_buffer,10,1,,,,,,1.029,,1.029,26.7245239783798,102.290573184132,ejamit_v3.2022.2,1.0175,1.117589893100082,1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,3,,1,,
points_10_radius_5,ejamit,local_r,3.2022.2,2026-07-25 18:46:06 UTC,points,point_buffer,10,5,,,,,,1.427,,1.427,25.9176830661361,101.438391493795,ejamit_v3.2022.2,1.4185,0.5956552207428137,5,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,4,,1,,
points_100_radius_3_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:07 UTC,points,point_buffer,100,3.1,,,,,,1.706,,1.706,17.9348410964495,77.902865760209,ejamit_v3.2022.2,1.7015,0.2637749120750263,3.1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,5,,1,,
points_1000_radius_3_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:09 UTC,points,point_buffer,1000,3.1,,,,,,5.383,,5.383,16.3153312125838,66.9606689499408,ejamit_v3.2022.2,5.704,5.963217536689573,3.1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,6,,1,,
point_1_radius_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:21 UTC,points,point_buffer,1,1,,,,,,2.068,,2.068,33.8062685931762,123.67570716491,ejamit_v3.2022.2,0.889,57.011605415860735,1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,7,,2,,
points_10_radius_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:24 UTC,points,point_buffer,10,1,,,,,,1.006,,1.006,26.7245239783798,102.290573184132,ejamit_v3.2022.2,1.0175,1.1431411530815174,1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,8,,2,,
points_10_radius_5,ejamit,local_r,3.2022.2,2026-07-25 18:46:25 UTC,points,point_buffer,10,5,,,,,,1.41,,1.41,25.9176830661361,101.438391493795,ejamit_v3.2022.2,1.4185,0.6028368794326365,5,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,9,,2,,
points_100_radius_3_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:26 UTC,points,point_buffer,100,3.1,,,,,,1.697,,1.697,17.9348410964495,77.902865760209,ejamit_v3.2022.2,1.7015,0.2651738361814937,3.1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,10,,2,,
points_1000_radius_3_1,ejamit,local_r,3.2022.2,2026-07-25 18:46:28 UTC,points,point_buffer,1000,3.1,,,,,,6.025,,6.025,16.3153312125838,66.9606689499408,ejamit_v3.2022.2,5.704,5.327800829875529,3.1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,11,,2,,
fips_1_county,ejamit,local_r,3.2022.2,2026-07-25 18:46:41 UTC,fips,county,1,0,,,,,,6.209,,6.209,4.03209415196286,8.45016668418971,ejamit_v3.2022.2,4.03209415196286,35.060490385523266,0,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,12,,1,,
fips_20_counties,ejamit,local_r,3.2022.2,2026-07-25 18:46:47 UTC,fips,county,20,0,,,,,,2.107,,2.107,4.52597876918661,8.93674976547423,ejamit_v3.2022.2,4.52597876918661,114.80677594620832,0,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,13,,1,,
fips_1_state,ejamit,local_r,3.2022.2,2026-07-25 18:46:50 UTC,fips,state,1,0,,,,,,1.306,,1.306,4.08724674861719,14.1018943026972,ejamit_v3.2022.2,1.306,0,0,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,14,,1,,
shape_testinput_shapes_2,ejamit,local_r,3.2022.2,2026-07-25 18:46:53 UTC,shapefile,polygon,2,0,,,,,,0.908000000000001,,0.908000000000001,3.83817438161715,4.0873832328588,ejamit_v3.2022.2,3.83817438161715,322.7064296935182,0,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,15,,1,,
points_3000_radius_3_1,ejamit,local_r,3.2022.2,2026-07-25 18:52:50 UTC,points,point_buffer,3000,3.1,,,,,,15.046,,15.046,29.4906902790806,78.8563766553754,ejamit_v3.2022.2,15.046,0,3.1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,16,,1,,
points_10000_radius_3_1,ejamit,local_r,3.2022.2,2026-07-25 18:53:05 UTC,points,point_buffer,10000,3.1,,,,,,43.779,,43.779,86.6742872961573,135.703256640688,ejamit_v3.2022.2,43.779,0,3.1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,17,,1,,
points_10_radius_1,ejamit,local_r,3.2022.2,2026-07-25 18:54:41 UTC,points,point_buffer,10,1,,,,,,2.282,,2.282,26.7245239783798,102.290573184132,ejamit_v3.2022.2,1.0175,55.41191936897458,1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,18,,3,,
point_1_radius_1,ejamit,local_r,3.2022.2,2026-07-25 18:54:43 UTC,points,point_buffer,1,1,,,,,,0.889,,0.889,33.8062685931762,123.67570716491,ejamit_v3.2022.2,0.889,0,1,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,same_R_session_repeat_not_proven_warm,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,19,,3,,
fips_all_52_state_units,ejamit,local_r,3.2022.2,2026-07-25 19:04:15 UTC,fips,state,52,0,,,,,,19.451,,19.451,7.07001262020295,17.2383403159824,ejamit_v3.2022.2,19.451,0,0,,completed,valid_local_model,TRUE,FALSE,local_console_model_evidence,pre_change_baseline,first_occurrence_same_R_session_not_proven_cold,system.time around EJAM::ejamit call only,,ejam_eta_local_ejamit.csv,20,,1,All 52 state units completed locally; no valid live all-state completion was obtained.,
point_1_radius_1,web_app,local_app,3.2022.2,2026-07-25T18:47:45.775Z,points,point_buffer,1,1,,,,,,,2.70800175,2.70800175,,,webapp_live_v3.2022.2,5.21244256247219,92.48298353101838,1,Estimated analysis time: about 34 seconds for 1 point-buffer location (upper estimate 2.1 minutes).,completed,valid_environment_comparison,FALSE,FALSE,environment_comparison_only,pre_change_baseline,first_occurrence_same_Shiny_process_not_proven_cold,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,1,1,1,,
points_10_radius_1,web_app,local_app,3.2022.2,2026-07-25T18:47:51.656Z,points,point_buffer,10,1,,,,,,,1.631090708,1.631090708,,,webapp_live_v3.2022.2,5.21244256247219,219.56791470313433,1,Estimated analysis time: about 27 seconds for 10 point-buffer locations (upper estimate 1.7 minutes).,completed,valid_environment_comparison,FALSE,FALSE,environment_comparison_only,pre_change_baseline,first_occurrence_same_Shiny_process_not_proven_cold,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,2,1,1,,
points_10_radius_5,web_app,local_app,3.2022.2,2026-07-25T18:47:55.109Z,points,point_buffer,10,5,,,,,,,1.776620375,1.776620375,,,webapp_live_v3.2022.2,5.21244256247219,193.3909030775463,5,Estimated analysis time: about 26 seconds for 10 point-buffer locations (upper estimate 1.7 minutes).,completed,valid_environment_comparison,FALSE,FALSE,environment_comparison_only,pre_change_baseline,first_occurrence_same_Shiny_process_not_proven_cold,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,3,1,1,,
points_100_radius_3_1,web_app,local_app,3.2022.2,2026-07-25T18:47:58.205Z,points,point_buffer,100,3.1,,,,,,,2.37804075,2.37804075,,,webapp_live_v3.2022.2,8.9982269375,278.3882566982925,3.1,Estimated analysis time: about 18 seconds for 100 point-buffer locations (upper estimate 78 seconds).,completed,valid_environment_comparison,FALSE,FALSE,environment_comparison_only,pre_change_baseline,first_occurrence_same_Shiny_process_not_proven_cold,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,4,1,1,,
points_1000_radius_3_1,web_app,local_app,3.2022.2,2026-07-25T18:48:01.458Z,points,point_buffer,1000,3.1,,,,,,,7.198260667,7.198260667,,,webapp_live_v3.2022.2,33.879833521,370.6669442566882,3.1,"Estimated analysis time: about 16 seconds for 1,000 point-buffer locations (upper estimate 67 seconds).",completed,valid_environment_comparison,FALSE,FALSE,environment_comparison_only,pre_change_baseline,first_occurrence_same_Shiny_process_not_proven_cold,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,5,1,1,"The captured uploadSummary truncates formatted 1,000 to 1; the expected-count wait passed and the displayed ETA says 1,000.",
fips_1_county,web_app,local_app,3.2022.2,2026-07-25T18:48:10.008Z,fips,county,1,0,,,,,,,4.877516917,4.877516917,,,webapp_live_v3.2022.2,13.5805752752911,178.43215116194946,0,Estimated analysis time: about 4 seconds for 1 FIPS county location (upper estimate 8 seconds).,completed,valid_environment_comparison,FALSE,FALSE,environment_comparison_only,pre_change_baseline,first_occurrence_same_Shiny_process_not_proven_cold,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,6,1,1,,
fips_20_counties,web_app,local_app,3.2022.2,2026-07-25T18:48:16.825Z,fips,county,20,0,,,,,,,3.450560416,3.450560416,,,webapp_live_v3.2022.2,14.0744598925148,307.88910193406684,0,Estimated analysis time: about 5 seconds for 20 FIPS county locations (upper estimate 9 seconds).,completed,valid_environment_comparison,FALSE,FALSE,environment_comparison_only,pre_change_baseline,first_occurrence_same_Shiny_process_not_proven_cold,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,7,1,1,,
fips_1_state,web_app,local_app,3.2022.2,2026-07-25T18:48:23.192Z,fips,state,1,0,,,,,,,2.486425833,2.486425833,,,webapp_live_v3.2022.2,26.125235958,950.7144677819955,0,Estimated analysis time: about 4 seconds for 1 FIPS state location (upper estimate 14 seconds).,completed,valid_environment_comparison,FALSE,FALSE,environment_comparison_only,pre_change_baseline,first_occurrence_same_Shiny_process_not_proven_cold,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,8,1,1,,
shape_testinput_shapes_2,web_app,local_app,3.2022.2,2026-07-25T18:48:27.598Z,shapefile,polygon,2,0,,,,,,,1.486410958,1.486410958,,,webapp_live_v3.2022.2,5.4995653125,269.9895565826419,0,Estimated analysis time: about 4 seconds for 2 polygon locations (upper estimate 4 seconds).,completed,valid_environment_comparison,FALSE,FALSE,environment_comparison_only,pre_change_baseline,first_occurrence_same_Shiny_process_not_proven_cold,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,9,1,1,,
point_1_radius_1,web_app,local_app,3.2022.2,2026-07-25T19:00:41.695Z,points,point_buffer,1,1,,,,,,,2.272802709,2.272802709,,,webapp_live_v3.2022.2,5.21244256247219,129.3398605092999,1,Estimated time until results: about 5 seconds for 1 point-buffer location.,completed,valid_post_fix_validation,FALSE,FALSE,post_fix_validation,post_fix_branch_profile,same_Shiny_process_repeat_not_proven_warm,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,10,1,2,"New branch ETA profile; source-app validation only, not live-profile training.",
points_100_radius_3_1,web_app,local_app,3.2022.2,2026-07-25T19:00:44.994Z,points,point_buffer,100,3.1,,,,,,,3.199965042,3.199965042,,,webapp_live_v3.2022.2,8.9982269375,181.19766370560242,3.1,Estimated time until results: about 9 seconds for 100 point-buffer locations.,completed,valid_post_fix_validation,FALSE,FALSE,post_fix_validation,post_fix_branch_profile,same_Shiny_process_repeat_not_proven_warm,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,11,1,2,"New branch ETA profile; source-app validation only, not live-profile training.",
points_1000_radius_3_1,web_app,local_app,3.2022.2,2026-07-25T19:00:50.683Z,points,point_buffer,1000,3.1,,,,,,,6.792943541,6.792943541,,,webapp_live_v3.2022.2,33.879833521,398.7504064550564,3.1,"Estimated time until results: about 34 seconds for 1,000 point-buffer locations.",completed,valid_post_fix_validation,FALSE,FALSE,post_fix_validation,post_fix_branch_profile,same_Shiny_process_repeat_not_proven_warm,monotonic clock immediately before Start Analysis click to visible multisite report,,ejam_eta_live_local.jsonl,12,1,2,"New branch ETA profile; source-app validation only, not live-profile training. The captured uploadSummary truncates formatted 1,000 to 1; the expected-count wait passed and the displayed ETA says 1,000.",
